0x400a7e: ret
0x4211d5: retw
0x401a7d: iret
0x4090a1: retf
0x41e349: nop [rax+0x0]; xor eax,eax; ret
0x432923: cmovne rax,rdx; vzeroupper; ret
0x46f283: mov [rdx],eax; mov eax,0x2; ret
0x4604f9: dec [rax+0xf]; rex.R ret 0x90c3
0x461fed: mov [rax],edx; xor eax,eax; ret
0x415c43: cmove eax,edx; add rsp,0x8; ret
0x461838: mov [rax],0x2; xor eax,eax; ret
0x460e94: add al,[rax]; add [rax],al; ret
0x42775a: add al,0x48; mov [rdi],ecx; ret
0x413428: mov [rax],0xc; xor eax,eax; ret
0x461bdf: add [rax+0x66],bh; syscall; ret
0x427743: or al,0xf3; movq [rdi],mm1; ret
0x45e004: clc; push [rax+rcx*1+0x5b]; ret
0x40dde1: add [rax],al; add [rax],al; ret
0x48f6f8: xchg edi,eax; xchg esp,eax; ret
0x46f0e7: mov [rdx],0x0; mov eax,0x1; ret
0x4903e4: mov bh,0xb4; mov edi,[rdx]; ret
0x438e0c: add rsp,0x100; sub rax,rdx; ret
0x4347e3: mov [rdx],rax; mov rax,rdi; ret
0x475114: movss [rsp-0x28],xmm0; repz ret
0x41dead: rol bl,1; nop; xor eax,eax; ret
0x46f8ec: mov [rax],rdx; add rsp,0x8; ret
0x461bff: add [rax+0x68],bh; syscall; ret
0x49571b: or rax,[rdx]; jno 0x49572a; ret
0x447e5b: add [rbx+0x41],bl; pop rsp; ret
0x413558: call 0x410940 <arena_get_retry>
0x4383e6: push rsi; cmc; sub eax,edx; ret
0x46f105: mov eax,0x1; mov [rdi],rsi; ret
0x41e2b9: push [rbp+0x4]; vzeroupper; ret
0x426f2b: xrelease mov [rdi-0x8],rcx; ret
0x45ff32: div [rbp+0x4]; xor rax,rax; ret
0x472e7e: or eax,0x30c48348; pop rbx; ret
0x438396: push rsi; lock sub eax,edx; ret
0x447ba2: fisttp [rdi]; rex.RX ret 0xc389
0x456238: enter 0x415d,0x5c; pop r13; ret
0x461d2e: add [rax],al; add rsp,0x78; ret
0x4364ce: add [rax],al; mov [rdi],dh; ret
0x47a444: add [rbp-0x1f],dh; pop rbx; ret
0x43eecb: add [rcx],dh; sar [rcx],cl; ret
0x40a4f0: mov [rdi],0x0; mov rax,rdi; ret
0x415bbe: add [rax],al; mov eax,0x16; ret
0x4383d6: push rsi; hlt; sub eax,edx; ret
0x439266: rep movs es:[rdi],ds:[rsi]; ret
0x43c7ad: jae 0x43c7b0 <mprotect+16>; ret
0x415648: out 0x48,eax; sub eax,0x10; ret
0x461bef: add [rax+0x6b],bh; syscall; ret
0x43b869: add [rax],al; add rsp,0x68; ret
0x46d235: sbb [rax+0x5a],bl; pop rbx; ret
0x46163f: nop; mov eax,0xc9; syscall; ret
0x43c951: mov [rcx],0x75; or esi,ebx; ret
0x43c41d: xchg ch,bh; dec [rax-0x77]; ret
0x45fd84: std; xlat ds:[rbx]; retf 0xfdc5
0x41f94d: outs dx,ds:[rsi]; push rdi; ret
0x46b381: dec [rax+0xf]; rex.R ret 0x66c3
0x4348f7: or [r9-0x76b7f7be],cl; clc; ret
0x46ac5a: adc [r11+0x5d],bl; pop r12; ret
0x42a8f0: mov cl,[rsi]; mov [rdi],cl; ret
0x4388cd: add [rax],r8b; xor eax,eax; ret
0x47a5c5: add [rax],r8b; add rsp,0x8; ret
0x46dc37: in al,dx; or [rbp+0x39],cl; ret
0x46f128: mov [rdx],eax; mov eax,0x1; ret
0x40f5e0: add al,0x22; sub [rax],eax; ret
0x4913a6: mov esi,0x497b96cc; retf 0x99e0
0x432924: cmovne eax,edx; vzeroupper; ret
0x413502: stos es:[rdi],rax; pop rbx; ret
0x4277b3: or esi,ebx; movq [rdi],mm1; ret
0x4490bf: add [rbx+0x41],bl; pop rsi; ret
0x44b9f5: rex.WX sti; dec [rax+0x29]; ret
0x48ffa5: jnp 0x48ff60 <__tens+5088>; ret
0x447f7d: and [rbx+0x5d],bl; pop r12; ret
0x415c41: dec [rax+0xf]; rex.R ret 0x8348
0x44105a: xor [rbx+0x5d],bl; pop r12; ret
0x46fe3f: nop; mov eax,0x27; syscall; ret
0x401486: add [rbx+0x5d],bl; pop r12; ret
0x4347e4: mov [rdx],eax; mov rax,rdi; ret
0x48f6f7: test al,0x97; xchg esp,eax; ret
0x4610f2: rol [rbx],0x0; add [rax],al; ret
0x43dc4b: add ebx,eax; nop [rax]; repz ret
0x43a526: pop rbx; and eax,0x7ff80000; ret
0x45408d: mov [rax],0x16; mov eax,edx; ret
0x46de86: shl r9,cl; mov [rdi-0x8],r9; ret
0x478c4d: or bl,ch; adc [rax-0x7d],cl; ret
0x43a48f: cld; add eax,[rax]; pop rbx; ret
0x455e30: add [rax],eax; add [rax],al; ret
0x4610f3: add eax,[rax]; add [rax],al; ret
0x40ecc7: nop cs:[rax+rax*1+0x0]; repz ret
0x46df90: shr r9,cl; mov [rdi+0x8],r9; ret
0x44cc06: push rcx; cmp [rax+0x39],cl; ret
0x40c066: in eax,0xff; dec [rax+0x39]; ret
0x4490fe: add [rdi],ch; mov [rdi],0x0; ret
0x416733: add al,[rax]; cmove rax,rdx; ret
0x429d39: rex.RXB jmp 0x4fc1ad32; lock ret
0x4610e2: rol [rdx],0x0; add [rax],al; ret
0x427ac3: add al,0xf3; movq [rdi],mm1; ret
0x407f18: fucomip st,st(0); rex.X retf 0x0
0x402974: sar bh,0xff; dec [rax-0x39]; ret
0x400fcf: push rbx; adc [rax-0x7d],cl; ret
0x400a43: jmp rax; nop [rax]; pop rbp; ret
0x403ef8: inc [rcx+0xf]; xchg ebp,eax; ret
0x46ad38: xchg esi,eax; and eax,[rax]; ret
0x462386: cmp rsi,rdi; cmovne rax,rdx; ret
0x43a048: rol [rax+0x48],0x39; retf 0xe475
0x4726bd: jmp [rsi-0x70]; add rsp,0x8; ret
0x40fa10: push rdi; sbb [rax+0x39],cl; ret
0x46f748: jmp 0x0; nop [rax]; pop rbx; ret
0x439275: movs es:[rdi],ds:[rsi]; cld; ret
0x41e57d: rex sub eax,edx; vzeroupper; ret
0x46c7d8: cmp al,0xf9; dec [rax-0x77]; ret
0x448502: mov [rbx+0x10],0x0; pop rbx; ret
0x40ad93: mov eax,0xffffffff; pop rbx; ret
0x415c0d: add [rax],r8b; mov eax,0x16; ret
0x436002: mov [rdx],al; lea rax,[rdx]; ret
0x434877: add cl,[r8-0x76b7fdbe]; clc; ret
0x43d89b: test eax,eax; cmove eax,edx; ret
0x461122: rol [rsi],0x0; add [rax],al; ret
0x461132: rol [rdi],0x0; add [rax],al; ret
0x4348f8: or [rcx-0x76b7f7be],cl; clc; ret
0x427b33: add esi,ebx; movq [rdi],mm1; ret
0x472df8: mov [rbx+0x20],rax; pop rbx; ret
0x4364e1: mov edx,[rsi]; mov [rdi],dx; ret
0x472ead: jae 0x472eb0 <setitimer+16>; ret
0x436de0: push rdi; or eax,0x1c478d48; ret
0x40c853: vminsd xmm8,xmm4,[rcx+0x5c]; ret
0x447e58: mov eax,0x5b000000; pop r12; ret
0x43bd77: ja 0x43bdb8 <close+88>; repz ret
0x43a570: icebp; pop rbx; mov eax,eax; ret
0x43c8ea: push rdi; adc [rcx-0x77],cl; ret
0x45e812: rex.RXB; mov rax,[rax+0x4c]; ret
0x48ef05: jrcxz 0x48ef5d <__tens+989>; ret
0x472df9: mov [rbx+0x20],eax; pop rbx; ret
0x4490ea: mov esi,0x415b0007; pop rsi; ret
0x40d7c1: add ebx,[rbx+0x5d]; pop r12; ret
0x475171: mov eax,[rax]; mov [r10],r8; ret
0x46ad37: jne 0x46accf; and eax,[rax]; ret
0x463f95: push [rcx]; fucomi st,st(0); ret
0x474d19: mov rax,[rsp]; add rsp,0x38; ret
0x41f2f8: and ecx,0xffff; sub eax,ecx; ret
0x40fa35: rex.RXB adc [r11+0x5d],r11b; ret
0x4383b6: push rsi; repnz sub eax,edx; ret
0x49bf11: cmp [rbx+0x2030d07],al; cld; ret
0x436bfc: push rdi; add eax,0xc478d48; ret
0x468326: add bh,bh; ror [rax-0x7d],1; ret
0x45e14a: mov [rax+0x48],0x0; pop rbx; ret
0x46ae2d: xchg ebp,eax; and eax,[rax]; ret
0x43b9d4: ja 0x43ba30 <read+112>; repz ret
0x462387: cmp esi,edi; cmovne rax,rdx; ret
0x40d431: mov [rbx+0x50],0x0; pop rbx; ret
0x41675c: add [rax],al; cmove rax,rdx; ret
0x43483c: rex.X or [rax-0x77],cl; clc; ret
0x491841: lahf; sub edi,esi; int 0x6b; ret
0x472d44: mov [rbx+0x18],rax; pop rbx; ret
0x472d45: mov [rbx+0x18],eax; pop rbx; ret
0x436af0: mov [rdi],dh; lea rax,[rdi]; ret
0x474d1a: mov eax,[rsp]; add rsp,0x38; ret
0x472f29: add ebx,[rbp+0x41]; pop rsp; ret
0x427c13: add ebx,esi; movq [rdi],mm1; ret
0x462388: dec [rax+0xf]; rex.RB ret 0x31c3
0x47496a: add ebx,[rax+0x5a]; pop rbx; ret
0x464d75: mov dh,0xf9; dec [rax-0x77]; ret
0x40a4c6: sub ebx,[rbx+0x5d]; pop r12; ret
0x427219: rex.RXB jmp 0x4fc18212; lock ret
0x43708e: add [rax],al; lea rax,[rdi]; ret
0x46f108: add [rax],al; mov [rdi],rsi; ret
0x40f5f5: fwait; rex.RXB sub [r8],r8d; ret
0x4084bd: push rbp; cmp [rax+0x39],cl; ret
0x4610d2: rol [rcx],0x0; add [rax],al; ret
0x408f80: add al,0x0; add [rax+0x1],cl; ret
0x40ea27: rol bl,1; mov eax,0xffffffff; ret
0x438bf2: in eax,dx; lea rax,[rcx-0x1]; ret
0x4331a4: call 0x492c1cb9; mov eax,edx; ret
0x407206: rcr [rbx+0x5d],0x41; pop rsp; ret
0x468eab: xchg [rdi+0x2],cl; add cl,ch; ret
0x427199: rex.RXB call 0x4fc18192; lock ret
0x41e343: movzx ecx,[rsi]; sub eax,ecx; ret
0x4330c4: call 0x492c1bd9; mov eax,edi; ret
0x41dc4f: rol ch,1; std; xlat ds:[rbx]; ret
0x415d7c: add [rax],eax; cmove rax,rdx; ret
0x46defb: shl r9,cl; mov [rdi-0x10],r9; ret
0x4703cf: add bh,bh; ror [rax-0x77],cl; ret
0x46de87: shl ecx,cl; mov [rdi-0x8],r9; ret
0x46ae9f: and eax,[rax]; mov [rsi],rax; ret
0x46fb93: or al,0x5b; pop rbp; pop r12; ret
0x45f129: add eax,0xe02; cmove rax,rdx; ret
0x45f159: add eax,0x912; cmove rax,rdx; ret
0x429cb9: rex.RXB call 0x4fc1acb2; lock ret
0x400a03: nop [rax+rax*1+0x0]; pop rbp; ret
0x4388a8: push [rbp+0x1a]; xor eax,eax; ret
0x44c6f1: sub dh,al; add [rcx-0x7d],cl; ret
0x43fb61: shl eax,cl; pop rbp; pop r12; ret
0x427ad0: mov edx,[rsi]; mov [rdi],edx; ret
0x47981a: add eax,0xffff50e9; push rbx; ret
0x48f6e3: cld; shr al,cl; add al,0x3d; retf
0x40a645: mov [rdx+0x130],edi; pop rbx; ret
0x4004c9: and eax,0x2a0bfa; xchg ax,ax; ret
0x45e62b: sar r8,0x2; lea eax,[r8-0x1]; ret
0x494eb9: or rsp,[rsi+r9*1+0x18]; rex.B ret
0x4324c0: cmp [rax],dh; cmovne rax,rdx; ret
0x40a644: mov [rdx+0x130],rdi; pop rbx; ret
0x427911: mov edx,[rsi]; mov [rdi],rdx; ret
0x417fc3: movzx eax,[rdi]; sub eax,ecx; ret
0x4913b6: mov al,0xee; fcmovb st,st(3); ret
0x46df91: shr ecx,cl; mov [rdi+0x8],r9; ret
0x4383a6: push rsi; icebp; sub eax,edx; ret
0x40e9e4: mov rax,[rdi]; mov [rdx],rax; ret
0x41de83: movzx edx,[rsi]; sub eax,edx; ret
0x46fc20: add eax,0x5b; cmovne rax,rdx; ret
0x45dafb: adc [rax-0x77],cl; rex.W; rex ret
0x46e00b: shr r9,cl; mov [rdi+0x10],r9; ret
0x472199: jmp 0x0; xchg ax,ax; pop rbx; ret
0x46fc23: add [rax],al; cmovne rax,rdx; ret
0x43a50a: lock cmovne rax,rdx; pop rbx; ret
0x427910: mov rdx,[rsi]; mov [rdi],rdx; ret
0x460489: add eax,0xa12; cmove rax,rdx; ret
0x40e0a8: sub r8,rcx; lea eax,[r8-0x1]; ret
0x49bf6d: add ch,[rbp+rcx*1+0x7]; rex.R ret
0x409618: nop [rax+rax*1+0x0]; pop rbx; ret
0x41da24: clc; add rax,rcx; vzeroupper; ret
0x40e9e5: mov eax,[rdi]; mov [rdx],rax; ret
0x43b77b: ja 0x43b780 <_xstat+32>; repz ret
0x4348b5: add ecx,[r9-0x76b7fcbe]; clc; ret
0x415124: rcr [rbp+0x41],0x5c; pop r13; ret
0x400a7c: add [rbp-0x3d],ebx; nop; repz ret
0x461ec3: ror [rax-0x7d],0xc4; pop rax; ret
0x432b49: enter 0x148,0xf8; vzeroupper; ret
0x4044a4: ror [rax+0xf],0x44; shr cl,1; ret
0x415d03: add al,[rax]; cmovne rax,rdx; ret
0x432f66: clc; sub rax,rdx; vzeroupper; ret
0x41dbcc: rex; add rax,rdi; vzeroupper; ret
0x4273af: add [rbx+0x5789fc56],cl; cld; ret
0x43487a: rex.X add cl,[rax-0x77]; clc; ret
0x43baa7: ja 0x43bb00 <write+112>; repz ret
0x434878: add cl,[rax-0x76b7fdbe]; clc; ret
0x43dbc7: or bl,al; nop [rax+0x0]; repz ret
0x46f096: adc eax,edx; pop rbp; pop rbx; ret
0x414752: mov eax,edx; pop rbp; pop r12; ret
0x43b23e: push rdx; cld; dec [rax-0x77]; ret
0x43672d: movdqu XMMWORD [rdi+0xd],xmm2; ret
0x40a90e: add [rax],al; movzx eax,[rdx]; ret
0x415d7d: add [rax+0xf],cl; rex.R ret 0x66c3
0x442386: idiv [rdx-0x1]; cmovs eax,edx; ret
0x432eae: enter 0x2948,0xd0; vzeroupper; ret
0x406fef: add bh,bh; adc ecx,[rax-0x7d]; ret
0x4324bf: cmp [rax],sil; cmovne rax,rdx; ret
0x43a4d9: add ah,bh; inc [rbx]; pop rbx; ret
0x45e7f5: nop [rax]; mov eax,0xffffffff; ret
0x46e00c: shr ecx,cl; mov [rdi+0x10],r9; ret
0x405c45: clc; add [rbx-0x7cb70030],eax; ret
0x416b49: add eax,0x6c52; cmove rax,rdx; ret
0x4348a8: mov [rdx+0x4],ax; mov rax,rdi; ret
0x43674d: movdqu XMMWORD [rdi+0xe],xmm2; ret
0x41681d: add [rax+0xf],cl; rex.RB ret 0xfc3
0x43942d: rol [r9+0xf],1; adc [rbx],esp; ret
0x4009ca: hlt; nop [rax+rax*1+0x0]; repz ret
0x401c83: add esp,0x8; pop rbx; pop rbp; ret
0x46bbfb: sbb al,0x24; add rsp,0x30; bnd ret
0x472f27: sar eax,0x3; pop rbp; pop r12; ret
0x4348b6: add ecx,[rcx-0x76b7fcbe]; clc; ret
0x40fc54: mov eax,ebx; pop rbx; pop rbp; ret
0x44849a: jmp 0x414960 <free>; nop; repz ret
0x45f18e: es adc edi,edx; dec [rax+0x1]; ret
0x465eba: clc; add dl,[rax-0x77]; ret 0xc389
0x4348b8: rex.X add ecx,[rax-0x77]; clc; ret
0x410284: mov eax,edi; pop rbp; pop r12; ret
0x410283: mov rax,rdi; pop rbp; pop r12; ret
0x43ae08: mov eax,0x1; pop rbx; pop rbp; ret
0x414436: mov rax,rdx; pop rbx; pop rbp; ret
0x461fec: mov fs:[rax],edx; xor eax,eax; ret
0x45fde6: rol ch,cl; std; xlat ds:[rbx]; ret
0x41d711: mov esp,0x448d48c0; cmp al,dh; ret
0x4138c2: xor eax,eax; pop rbx; pop rbp; ret
0x40551f: xor eax,eax; pop rbp; pop r12; ret
0x434879: mov [rdx+0x2],al; mov rax,rdi; ret
0x45e62c: sar eax,0x2; lea eax,[r8-0x1]; ret
0x40fc53: mov rax,rbx; pop rbx; pop rbp; ret
0x46c7d7: int 0x3c; stc; dec [rax-0x77]; ret
0x46f49e: add eax,0x234bc5; add rsp,0x8; ret
0x499d35: and [rsi+rcx*1+0x18],bh; rex.R ret
0x401c82: add rsp,0x8; pop rbx; pop rbp; ret
0x43b6ed: jae 0x43b6f0 <sched_yield+16>; ret
0x460e7c: mov bl,0x48; mov eax,edx; repz ret
0x407488: fiadd [rbp+0x450f48c9]; ret 0x8348
0x46c397: cmp al,0x0; add [rcx-0x77],cl; ret
0x4383d5: mov dh,0x56; hlt; sub eax,edx; ret
0x43262c: fsub [rsi+0xf]; xlat ds:[rbx]; ret
0x43a260: rex.W jg 0x43a26a; vzeroupper; ret
0x413427: mov fs:[rax],0xc; xor eax,eax; ret
0x409a62: mov eax,ebp; pop rbx; pop rbp; ret
0x43bb6d: ja 0x43bb78 <lseek64+24>; repz ret
0x475cb2: stc; in al,0x22; add [rax],cl; ret
0x43d9a8: ror [rax+0x39],0xfa; setae al; ret
0x43a56f: div ecx; pop rbx; mov eax,eax; ret
0x438395: mov dh,0x56; lock sub eax,edx; ret
0x4604db: je 0x4604e0 <wmemset+32>; repz ret
0x478f48: and al,0x10; or [rax-0x7d],cl; ret
0x4776da: mov rax,rbp; pop rbx; pop rbp; ret
0x43a47a: add [rax+0xf],cl; rex.R ret 0xc35b
0x46f74a: or [rcx+0x1f0fff],bh; pop rbx; ret
0x4155c4: or ecx,[rax-0x73]; rex.X; lock ret
0x46bbfc: and al,0x48; add esp,0x30; bnd ret
0x4081f1: mov eax,edx; pop rbx; pop rbp; ret
0x4383e5: mov dh,0x56; cmc; sub eax,edx; ret
0x40c070: mov dh,0xc0; neg eax; pop rbx; ret
0x494eba: or esp,[rsi+rcx*1+0x18]; rex.B ret
0x434897: mov [rdx+0x4],al; mov rax,rdi; ret
0x42a8e2: mov [rdi],si; mov [r9-0x2],cx; ret
0x461837: mov fs:[rax],0x2; xor eax,eax; ret
0x43b7c9: ja 0x43b7d0 <_fxstat+32>; repz ret
0x439f9b: stos es:[rdi],al; mov rax,rdx; ret
0x4383c5: mov dh,0x56; repz sub eax,edx; ret
0x43676d: movdqu XMMWORD [rdi+0xf],xmm2; ret
0x461c3b: ja 0x461c40 <_lxstat+32>; repz ret
0x46defc: shl ecx,cl; mov [rdi-0x10],r9; ret
0x427c20: movzx edx,[rsi]; mov [rdi],dl; ret
0x4392e8: movzx ecx,[rsi]; mov [rdi],cl; ret
0x47843e: xchg ax,ax; mov rax,[rsi+0x8]; ret
0x46f095: adc rax,rdx; pop rbp; pop rbx; ret
0x451687: lock add r9d,eax; mov eax,r9d; ret
0x41e525: sub al,ch; std; xlat ds:[rbx]; ret
0x40e0a9: sub eax,ecx; lea eax,[r8-0x1]; ret
0x43a43e: jmp rax; xor eax,eax; pop rbx; ret
0x40dcf9: rex push 0x75c08548; lock repz ret
0x46adf2: add eax,0x2395b9; add rsp,0x8; ret
0x4490fd: mov [rax],0x2f; mov [rdi],0x0; ret
0x43ff6e: add al,0x17; add al,ch; ret 0xfc04
0x416759: add eax,0x6d12; cmove rax,rdx; ret
0x472f26: sar rax,0x3; pop rbp; pop r12; ret
0x47787f: lock mov r15,[rbp-0x8]; leave; ret
0x414751: mov rax,rdx; pop rbp; pop r12; ret
0x46b786: call [rbx+0x64]; mov eax,[rax]; ret
0x43c675: add [rbp+0xf],dh; add rsp,0x28; ret
0x426deb: movdqu XMMWORD [rdi-0x10],xmm1; ret
0x4155dc: rol ebx,0x66; nop; xor eax,eax; ret
0x4079d1: add [rbp+0x8],dh; add rsp,0xd8; ret
0x434909: add eax,0x5428948; mov rax,rdi; ret
0x42a8e3: mov [rdi],esi; mov [r9-0x2],cx; ret
0x43dc2f: add [rax-0x77],cl; ja 0x43dc54; ret
0x46fdce: ror [rax+0x1],0xf8; sub rax,r8; ret
0x415c7d: add [rax+0xf],cl; rex.RB ret 0xc3f3
0x40c06f: movzx eax,al; neg eax; pop rbx; ret
0x42a87d: vmovdqu YMMWORD [r9-0x20],ymm3; ret
0x40ae44: add esp,0xa8; pop rbx; pop rbp; ret
0x42a812: vmovups ZMMWORD [r9-0x40],zmm7; ret
0x43483b: mov [rdx+0x8],eax; mov rax,rdi; ret
0x439f79: lock movdqu XMMWORD [rdi],xmm0; ret
0x47751e: or [rbp+0x4],dh; mov [rax],rdx; ret
0x415d04: add [rax+0xf],cl; rex.RB ret 0x66c3
0x41d712: ror [rax-0x73],0x44; cmp al,dh; ret
0x416b7b: mov ebx,0xf480001; rex.R ret 0x66c3
0x46f29d: mov [rdi+0x8],rax; mov eax,0x2; ret
0x40cf6e: add esp,0x38; pop rbx; pop rbp; ret
0x43483a: mov [rdx+0x8],rax; mov rax,rdi; ret
0x4676b2: adc eax,0x4000003; xor eax,eax; ret
0x474f35: add rsp,0x38; pop rbx; pop r14; ret
0x43a1f8: cld; mov [rdi],ecx; vzeroupper; ret
0x47028e: add [rbp+rcx*4+0x4],cl; retf 0x8b41
0x447e5a: add [rax],al; pop rbx; pop r12; ret
0x432922: xor [rax+0xf],cl; rex.RB ret 0xf8c5
0x43606b: add al,0x48; lea eax,[rdx+0x5]; ret
0x455e2e: stos es:[rdi],eax; mov eax,0x1; ret
0x4082ef: test [rax+rax*1-0x76b80000],ch; ret
0x4348b7: mov [rdx+0x3],eax; mov rax,rdi; ret
0x4102cc: idiv edi; call [rax+0x90d8d48]; ret
0x46d325: add [rbp+0xc],dh; add rsp,0x38; ret
0x43bd46: add [rbp+0x5],dh; add rsp,0x58; ret
0x415d79: add eax,0x1cf42; cmove rax,rdx; ret
0x447e56: add esp,0xb8; pop rbx; pop r12; ret
0x40f84e: add [rax],al; xor eax,eax; repz ret
0x4364f3: mov [rdi],cx; mov [rdi+0x2],dh; ret
0x472cca: add [rbp+0xf],dh; add rsp,0x38; ret
0x44ac26: dec [rbp-0x7b]; dec [rax-0x77]; ret
0x47336a: or [rax],al; add [rax-0x7d],cl; ret
0x43494a: mov [rdx+0x7],rax; mov rax,rdi; ret
0x436f18: mov bh,0x48; lea eax,[rdi+0x7]; ret
0x42a8aa: vmovdqu XMMWORD [r9-0x10],xmm1; ret
0x407e55: add rsp,0xd8; pop rbx; pop rbp; ret
0x472a33: sub [rbx-0x26],dh; mov eax,0x1; ret
0x4348e9: mov [rdx+0x7],eax; mov rax,rdi; ret
0x41db98: addr32 add rax,rdi; vzeroupper; ret
0x474c78: add [rbp+0xb],dh; add rsp,0x28; ret
0x407e5a: add [rax],al; pop rbx; pop rbp; ret
0x442330: add [rax],al; add [rax+0x1],cl; ret
0x462321: jne 0x462370 <is_dst+160>; repz ret
0x43942e: rol [rcx+0xf],1; adc [rbx],esp; ret
0x477a02: mov rbp,[rbp+0x0]; mov rsp,rcx; ret
0x47752e: xchg ax,ax; mov rax,[rdi+0x98]; ret
0x4348d9: mov [rdx+0x6],eax; mov rax,rdi; ret
0x46083c: fisub [rbx]; add [rax+0x39],cl; ret
0x487904: mov ebp,0xc000000f; sldt [rax]; ret
0x42a84e: vmovups ZMMWORD [r9-0x40],zmm3; ret
0x4096e4: add rsp,0x18; pop rbx; pop rbp; ret
0x43492a: mov [rdx+0x6],rax; mov rax,rdi; ret
0x461094: pcmpeqb mm3,[rcx]; add rax,0x2; ret
0x43490a: mov [rdx+0x5],rax; mov rax,rdi; ret
0x436b4b: add al,0x48; lea eax,[rdi+0x5]; ret
0x458006: popf; idiv rdi; dec [rax-0x77]; ret
0x477a03: mov ebp,[rbp+0x0]; mov rsp,rcx; ret
0x427b47: mov [rdi+0x1],dx; mov [rdi],cx; ret
0x413501: rep stos es:[rdi],rax; pop rbx; ret
0x42a896: vmovdqu YMMWORD [r9-0x20],ymm1; ret
0x44a44e: add [rbp+0x5],dh; add rsp,0x18; ret
0x409ab8: add [rax],al; add [rax-0x1],bh; ret
0x49b9d3: adc [rbx+0x80e5802],al; rex.WXB ret
0x474f36: add esp,0x38; pop rbx; pop r14; ret
0x47529e: xchg ax,ax; mov rax,[rsi+0xb8]; ret
0x438bfd: add [rax],al; add [rcx+0x1],cl; ret
0x46f0ea: add [rax],al; add [rax+0x1],bh; ret
0x426d7b: movdqu XMMWORD [rdi-0x10],xmm0; ret
0x496dcd: add ah,[rsi+rcx*1+0x8]; rex.WXB ret
0x436059: add al,0x48; lea eax,[rdx+0x4]; ret
0x4348c9: mov [rdx+0x5],eax; mov rax,rdi; ret
0x462392: jne 0x46237d <is_dst+173>; repz ret
0x43a1ed: clc; mov [rdi],rcx; vzeroupper; ret
0x439052: mov [rdi],cx; mov [rsi-0x2],cx; ret
0x40cf6d: add rsp,0x38; pop rbx; pop rbp; ret
0x478438: adc [rbp+0x13],dh; xor eax,eax; ret
0x460d02: or eax,0xc2bc0f48; shr rax,0x2; ret
0x41dc13: ror [rax+0x1],0xf8; vzeroupper; ret
0x40ae43: add rsp,0xa8; pop rbx; pop rbp; ret
0x41dc12: mov esp,0xf80148c0; vzeroupper; ret
0x43678d: movdqu XMMWORD [rdi+0x10],xmm2; ret
0x478ef7: mov dl,0x22; add [rax+0x39],cl; ret
0x447e55: add rsp,0xb8; pop rbx; pop r12; ret
0x41dea8: cli; movzx edx,dl; sub eax,edx; ret
0x46fa7c: add [rbp+0x5],dh; add rsp,0x38; ret
0x416b79: add eax,0x1bb12; cmove rax,rdx; ret
0x496dcb: adc [rbx+0x80e6402],al; rex.WXB ret
0x416730: add eax,0x221ab; cmove rax,rdx; ret
0x407e56: add esp,0xd8; pop rbx; pop rbp; ret
0x4348a9: mov [rdx+0x4],eax; mov rax,rdi; ret
0x45408c: mov fs:[rax],0x16; mov eax,edx; ret
0x4383b5: mov dh,0x56; repnz sub eax,edx; ret
0x475298: adc [rbp+0x1d],dh; xor eax,eax; ret
0x46f2fb: add [rax],al; add [rax+0x2],bh; ret
0x4096e5: add esp,0x18; pop rbx; pop rbp; ret
0x416a5c: add cl,[rax+0xf]; rex.RB ret 0xc3f3
0x434898: rex.X add al,0x48; mov eax,edi; ret
0x46f29e: mov [rdi+0x8],eax; mov eax,0x2; ret
0x4324c1: xor [rax+0xf],cl; rex.RB ret 0x90c3
0x41f03a: adc [rsi+0xf],ah; cmp [rdi],dl; ret
0x43712e: add [rax],al; lea rax,[rdi+0xb]; ret
0x445ae7: add al,[rax]; add [rax+0x39],cl; ret
0x415c40: clc; dec [rax+0xf]; rex.R ret 0x8348
0x43c9c5: mov [rdx],edi; pop rbx; pop rbp; ret
0x47518b: lea rax,[rax+0x8]; mov [r10],r8; ret
0x407e59: add [rax],al; add [rbx+0x5d],bl; ret
0x44a383: call 0x6544a387; add rax,ds:0x0; ret
0x456431: add [rax],al; add [rax+0x29],cl; ret
0x42aa4c: vmovups ZMMWORD [r9-0x40],zmm15; ret
0x421c1a: push rdi; std; mov [rdi-0x2],cx; ret
0x461080: je 0x4610a0 <__wcslen_sse2+512>; ret
0x4589ba: add [rax],al; add [rax+0x63],cl; ret
0x436512: mov [rdi+0x4],dh; mov [rdi],ecx; ret
0x40de9a: add [rax],al; mov [r9+0xa8],0x0; ret
0x44d911: add [rax],al; add [rcx-0x77],cl; ret
0x410556: add [rax],al; add [rax+0x39],cl; ret
0x4394b5: xor [rbp+0xf],al; adc [rbx],eax; ret
0x40ddb8: add [rax],al; add [rax],al; repz ret
0x4102ac: idiv edi; call [rax+0x290d8d48]; ret
0x4370be: add [rax],al; lea rax,[rdi+0x3]; ret
0x46adf3: mov ecx,0x48002395; add esp,0x8; ret
0x4370ee: add [rax],al; lea rax,[rdi+0x6]; ret
0x43913b: vmovups ZMMWORD [rsi+0xc0],zmm2; ret
0x4134ff: jmp 0xffffffffab8a2807; pop rbx; ret
0x436f3f: add [rax],eax; add dh,dh; ret 0x7504
0x464c7e: add [rax],al; add [rbp-0x77],cl; ret
0x4397e9: sar [rsi+0x7f],0x23; vzeroupper; ret
